Title,TMDb_id,IMDb_id,Release Date,Synopsis Short,Synopsis Long,Language,Status,Budget,RT Rating,Metascore,IMDb Rating,IMDb Votes,DVD Date,Box Office,Genre IDs
Star Wars: The Last Jedi,181808,tt2527336,2017-12-13,"Rey develops her newly discovered abilities with the guidance of Luke Skywalker, who is unsettled by the strength of her powers. Meanwhile, the Resistance prepares for battle with the First Order.","Rey develops her newly discovered abilities with the guidance of Luke Skywalker, who is unsettled by the strength of her powers. Meanwhile, the Resistance prepares to do battle with the First Order.",en,Released,200000000,91%,85,7.3,"391,474",27 Mar 2018,"$619,117,636","[14, 12, 878]"
The Shape of Water,399055,tt5580390,2017-12-01,"At a top secret research facility in the 1960s, a lonely janitor forms a unique relationship with an amphibious creature that is being held in captivity.","An other-worldly story, set against the backdrop of Cold War era America circa 1962, where a mute janitor working at a lab falls in love with an amphibious man being held captive there and devises a plan to help him escape.",en,Released,19500000,92%,87,7.4,"224,178",13 Mar 2018,"$57,393,976","[18, 14, 10749]"
Justice League,141052,tt0974015,2017-11-15,"Fueled by his restored faith in humanity and inspired by Superman's selfless act, Bruce Wayne enlists the help of his newfound ally, Diana Prince, to face an even greater enemy.","Fuelled by his restored faith in humanity and inspired by Superman's selfless act, Bruce Wayne and Diana Prince assemble a team of metahumans consisting of Barry Allen, Arthur Curry and Victor Stone to face the catastrophic threat of Steppenwolf and the Parademons who are on the hunt for three Mother Boxes on Earth.",en,Released,500000000,40%,45,6.7,"255,727",13 Mar 2018,"$227,032,490","[28, 12, 14, 878]"
The Greatest Showman,316029,tt1485796,2017-12-20,"Celebrates the birth of show business, and tells of a visionary who rose from nothing to create a spectacle that became a worldwide sensation.","The story of American showman P.T. Barnum, founder of the circus that became the famous traveling Ringling Bros. and Barnum & Bailey Circus.",en,Released,84000000,56%,48,7.7,"133,177",10 Apr 2018,"$164,616,443",[18]
All the Money in the World,446791,tt5294550,2017-12-13,The story of the kidnapping of 16-year-old John Paul Getty III and the desperate attempt by his devoted mother to convince his billionaire grandfather Jean Paul Getty to pay the ransom.,The story of the kidnapping of 16-year-old John Paul Getty III and the desperate attempt by his devoted mother to convince his billionaire grandfather Jean Paul Getty to pay the ransom.,en,Released,50000000,78%,72,6.9,"39,223",10 Apr 2018,"$20,153,135","[53, 18, 80, 9648]"
"Three Billboards Outside Ebbing, Missouri",359940,tt5027774,2017-11-10,A mother personally challenges the local authorities to solve her daughter's murder when they fail to catch the culprit.,"After seven months have passed without a culprit in her daughter's murder case, Mildred Hayes makes a bold move, painting three signs leading into her town with a controversial message directed at Bill Willoughby, the town's revered chief of police. When his second-in-command Officer Jason Dixon, an immature mother's boy with a penchant for violence, gets involved, the battle between Mildred and Ebbing's law enforcement is only exacerbated.",en,Released,15000000,92%,88,8.2,"241,536",27 Feb 2018,"$52,000,189","[80, 18]"
"I, Tonya",389015,tt5580036,2017-11-27,"Competitive ice skater Tonya Harding rises amongst the ranks at the U.S. Figure Skating Championships, but her future in the activity is thrown into doubt when her ex-husband intervenes.","Competitive ice skater Tonya Harding rises amongst the ranks at the U. S. Figure Skating Championships, but her future in the sport is thrown into doubt when her ex-husband intervenes.",en,Released,11000000,90%,77,7.5,"96,698",13 Mar 2018,"$28,950,158",[18]
Phantom Thread,400617,tt5776858,2017-12-25,"Set in 1950's London, Reynolds Woodcock is a renowned dressmaker whose fastidious life is disrupted by a young, strong-willed woman, Alma, who becomes his muse and lover.","In the glamour of 1950s post-war London, renowned dressmaker Reynolds Woodcock and his sister Cyril are at the center of British fashion. Women come and go through Woodcock’s life, providing the confirmed bachelor with inspiration and companionship, until he comes across a young, strong-willed woman, Alma, who soon becomes a fixture in his life as his muse and lover. Once controlled and planned, he finds his carefully tailored life disrupted by love.",en,Released,35000000,91%,90,7.6,"62,445",10 Apr 2018,"$947,190","[18, 10749]"
Murder on the Orient Express,392044,tt3402236,2017-11-03,"When a murder occurs on the train he's travelling on, celebrated detective Hercule Poirot is recruited to solve the case.",Genius Belgian detective Hercule Poirot investigates the murder of an American tycoon aboard the Orient Express train.,en,Released,55000000,57%,52,6.5,"141,173",27 Feb 2018,"$101,555,644","[80, 18, 9648]"
Jumanji: Welcome to the Jungle,353486,tt2283362,2017-12-09,"Four teenagers are sucked into a magical video game, and the only way they can escape is to work together to finish the game.","The tables are turned as four teenagers are sucked into Jumanji's world - pitted against rhinos, black mambas and an endless variety of jungle traps and puzzles. To survive, they'll play as characters from the game.",en,Released,90000000,76%,58,7.0,"173,926",20 Mar 2018,"$393,201,353","[28, 12, 35, 14]"
